KG1 lines of sight, obtained from drawing K09000100 Issue E dated 16/01/99 (20°-320°) -resampling using cubic interpolation A.Boboc 27/01/2014
Temperature R1 R2 R3 R4 R5 R6 R7 R8 Z1 Z2 Z3 Z4 Z5 Z6 Z7 Z8 A1 A2 A3 A4 A5 A6 A7 A8 
deg.C m m m m m m m m m m m m m m m m rad rad rad rad rad rad rad rad 
48 1.8859 2.6983 3.0354 3.7313 3 3 3 3 0 0 0 0 -0.60789 -0.373 -0.1468 0.18649 1.5708 1.5705 -1.5669 1.5708 0.3901 0.1681 -0.0389 -0.2437 
49 1.886 2.6984 3.0354 3.7313 3 3 3 3 0 0 0 0 -0.60791 -0.37301 -0.1468 0.1865 1.5708 1.5705 -1.5669 1.5708 0.3901 0.1681 -0.0389 -0.2437 
50 1.886 2.6984 3.0355 3.7314 3 3 3 3 0 0 0 0 -0.60793 -0.37302 -0.1468 0.18651 1.5708 1.5705 -1.5669 1.5708 0.3901 0.1681 -0.0389 -0.2437 
51 1.886 2.6985 3.0355 3.7314 3 3 3 3 0 0 0 0 -0.60795 -0.37303 -0.1468 0.18652 1.5708 1.5705 -1.5669 1.5708 0.3901 0.1681 -0.0389 -0.2437 
52 1.8861 2.6985 3.0356 3.7315 3 3 3 3 0 0 0 0 -0.60797 -0.37304 -0.1468 0.18653 1.5708 1.5705 -1.5669 1.5708 0.3901 0.1681 -0.0389 -0.2437 
53 1.8861 2.6985 3.0356 3.7315 3 3 3 3 0 0 0 0 -0.60799 -0.37305 -0.1468 0.18654 1.5708 1.5705 -1.5669 1.5708 0.3901 0.1681 -0.0389 -0.2437 
54 1.8861 2.6986 3.0356 3.7316 3 3 3 3 0 0 0 0 -0.60801 -0.37306 -0.1468 0.18655 1.5708 1.5705 -1.5669 1.5708 0.3901 0.1681 -0.0389 -0.2437 
55 1.8862 2.6986 3.0357 3.7316 3 3 3 3 0 0 0 0 -0.60803 -0.37307 -0.1468 0.18656 1.5708 1.5705 -1.5669 1.5708 0.3901 0.1681 -0.0389 -0.2437 
56 1.8862 2.6987 3.0357 3.7316 3 3 3 3 0 0 0 0 -0.60806 -0.37308 -0.1468 0.18657 1.5708 1.5705 -1.5669 1.5708 0.3901 0.1681 -0.0389 -0.2437 
57 1.8862 2.6987 3.0358 3.7317 3 3 3 3 0 0 0 0 -0.60808 -0.37309 -0.1468 0.18658 1.5708 1.5705 -1.5669 1.5708 0.3901 0.1681 -0.0389 -0.2437 
58 1.8862 2.6988 3.0358 3.7317 3 3 3 3 0 0 0 0 -0.6081 -0.37311 -0.1468 0.18659 1.5708 1.5705 -1.5669 1.5708 0.3901 0.1681 -0.0389 -0.2437 
59 1.8863 2.6988 3.0359 3.7318 3 3 3 3 0 0 0 0 -0.60812 -0.37312 -0.1468 0.1866 1.5708 1.5705 -1.5669 1.5708 0.3901 0.1681 -0.0389 -0.2437 
60 1.8863 2.6988 3.0359 3.7318 3 3 3 3 0 0 0 0 -0.60814 -0.37313 -0.1468 0.18661 1.5708 1.5705 -1.5669 1.5708 0.3901 0.1681 -0.0389 -0.2437 
61 1.8863 2.6989 3.0359 3.7319 3 3 3 3 0 0 0 0 -0.60816 -0.37314 -0.1468 0.18663 1.5708 1.5705 -1.5669 1.5708 0.3901 0.1681 -0.0389 -0.2437 
62 1.8864 2.6989 3.036 3.7319 3 3 3 3 0 0 0 0 -0.60818 -0.37315 -0.1468 0.18664 1.5708 1.5705 -1.5669 1.5708 0.3901 0.1681 -0.0389 -0.2437 
63 1.8864 2.699 3.036 3.732 3 3 3 3 0 0 0 0 -0.60821 -0.37316 -0.1468 0.18665 1.5708 1.5705 -1.5669 1.5708 0.3901 0.1681 -0.0389 -0.2437 
64 1.8864 2.699 3.0361 3.732 3 3 3 3 0 0 0 0 -0.60823 -0.37317 -0.1468 0.18666 1.5708 1.5705 -1.5669 1.5708 0.3901 0.1681 -0.0389 -0.2437 
65 1.8865 2.699 3.0361 3.7321 3 3 3 3 0 0 0 0 -0.60825 -0.37318 -0.1468 0.18667 1.5708 1.5705 -1.5669 1.5708 0.3901 0.1681 -0.0389 -0.2437 
66 1.8865 2.6991 3.0362 3.7321 3 3 3 3 0 0 0 0 -0.60827 -0.37319 -0.1468 0.18668 1.5708 1.5705 -1.5669 1.5708 0.3901 0.1681 -0.0389 -0.2437 
67 1.8865 2.6991 3.0362 3.7321 3 3 3 3 0 0 0 0 -0.60829 -0.3732 -0.1468 0.18669 1.5708 1.5705 -1.5669 1.5708 0.3901 0.1681 -0.0389 -0.2437 
68 1.8865 2.6992 3.0362 3.7322 3 3 3 3 0 0 0 0 -0.60831 -0.37321 -0.1468 0.1867 1.5708 1.5705 -1.5669 1.5708 0.3901 0.1681 -0.0389 -0.2437 
69 1.8866 2.6992 3.0363 3.7322 3 3 3 3 0 0 0 0 -0.60833 -0.37322 -0.1468 0.18671 1.5708 1.5705 -1.567 1.5708 0.3901 0.1681 -0.0389 -0.2437 
70 1.8866 2.6992 3.0363 3.7323 3 3 3 3 0 0 0 0 -0.60836 -0.37323 -0.1468 0.18672 1.5708 1.5705 -1.567 1.5708 0.3901 0.1681 -0.0389 -0.2437 
71 1.8866 2.6993 3.0364 3.7323 3 3 3 3 0 0 0 0 -0.60838 -0.37324 -0.1468 0.18673 1.5708 1.5705 -1.567 1.5708 0.3901 0.1681 -0.0389 -0.2437 
72 1.8867 2.6993 3.0364 3.7324 3 3 3 3 0 0 0 0 -0.6084 -0.37325 -0.1468 0.18674 1.5708 1.5705 -1.567 1.5708 0.3901 0.1681 -0.0389 -0.2437 
73 1.8867 2.6993 3.0364 3.7324 3 3 3 3 0 0 0 0 -0.60842 -0.37327 -0.1468 0.18676 1.5708 1.5705 -1.567 1.5708 0.3901 0.1681 -0.0389 -0.2437 
74 1.8867 2.6994 3.0365 3.7325 3 3 3 3 0 0 0 0 -0.60844 -0.37328 -0.1468 0.18677 1.5708 1.5705 -1.567 1.5708 0.3901 0.1681 -0.0389 -0.2437 
75 1.8868 2.6994 3.0365 3.7325 3 3 3 3 0 0 0 0 -0.60846 -0.37329 -0.1468 0.18678 1.5708 1.5705 -1.567 1.5708 0.3901 0.1681 -0.0389 -0.2437 
76 1.8868 2.6995 3.0365 3.7325 3 3 3 3 0 0 0 0 -0.60849 -0.3733 -0.1468 0.18679 1.5708 1.5705 -1.567 1.5708 0.3901 0.1681 -0.0389 -0.2437 
77 1.8868 2.6995 3.0366 3.7326 3 3 3 3 0 0 0 0 -0.60851 -0.37331 -0.1468 0.1868 1.5708 1.5705 -1.567 1.5708 0.3901 0.1681 -0.0389 -0.2437 
78 1.8868 2.6995 3.0366 3.7326 3 3 3 3 0 0 0 0 -0.60853 -0.37332 -0.1468 0.18681 1.5708 1.5705 -1.567 1.5708 0.3901 0.1681 -0.0389 -0.2437 
79 1.8869 2.6996 3.0367 3.7327 3 3 3 3 0 0 0 0 -0.60855 -0.37333 -0.1468 0.18682 1.5708 1.5705 -1.567 1.5708 0.3901 0.1681 -0.0389 -0.2437 
80 1.8869 2.6996 3.0367 3.7327 3 3 3 3 0 0 0 0 -0.60857 -0.37334 -0.1468 0.18683 1.5708 1.5705 -1.567 1.5708 0.3901 0.1681 -0.0389 -0.2437 
81 1.8869 2.6996 3.0367 3.7328 3 3 3 3 0 0 0 0 -0.60859 -0.37335 -0.1468 0.18684 1.5708 1.5705 -1.567 1.5708 0.3901 0.1681 -0.0389 -0.2437 
82 1.8869 2.6996 3.0368 3.7328 3 3 3 3 0 0 0 0 -0.60862 -0.37336 -0.1468 0.18685 1.5708 1.5705 -1.567 1.5708 0.3901 0.1681 -0.0389 -0.2437 
83 1.887 2.6997 3.0368 3.7329 3 3 3 3 0 0 0 0 -0.60864 -0.37337 -0.1468 0.18687 1.5708 1.5705 -1.567 1.5708 0.3901 0.1681 -0.0389 -0.2437 
